time,ECG
0.0,-0.038528946112031434
8.0,-0.047062646444646514
16.0,-0.05255077135646436
24.0,-0.056096504098250115
32.0,-0.05936861202993243
40.0,-0.06061035502531187
48.0,-0.05841721682574794
56.0,-0.05946150768470396
64.0,-0.05656620436763395
72.0,-0.05350350123570097
80.0,-0.06177551821569632
88.0,-0.08391226456364091
96.0,-0.10894775184682348
104.0,-0.07261549025255956
112.0,0.19087377731340796
120.0,0.7676057258547919
128.0,1.2736438350248862
136.0,1.3136054802687853
144.0,0.8676079615934669
152.0,0.2712556594531924
160.0,-0.04212895467207399
168.0,-0.10319647604848779
176.0,-0.0798476484553127
184.0,-0.05733463980116689
192.0,-0.05049192526091364
200.0,-0.05054442545361699
208.0,-0.04832248682211045
216.0,-0.04523689916724169
224.0,-0.046475912132831546
232.0,-0.05353747255941661
240.0,-0.05705691260140904
248.0,-0.05533457042629852
256.0,-0.05252576027002196
264.0,-0.05046563110450004
272.0,-0.050485788865707676
280.0,-0.049512400238662435
288.0,-0.05245370293044433
296.0,-0.05787806056499873
304.0,-0.05975191179632805
312.0,-0.06062360331267344
320.0,-0.05627109949999759
328.0,-0.05408908443324958
336.0,-0.05934168762882696
344.0,-0.05854509652882276
352.0,-0.03826558809203344
360.0,-0.011222373931008408
368.0,0.012437748748799982
376.0,0.0637891812804877
384.0,0.09387851838402163
392.0,0.061946136592884005
400.0,0.0044292353213736604
408.0,-0.03266311753828574
416.0,-0.053009512422474155
424.0,-0.059944164634813876
432.0,-0.05596322685294023
440.0,-0.045174917437834035
448.0,-0.03453679680331085
456.0,-0.029879688186662038
464.0,-0.03055355581496086
472.0,-0.03090765037949446
480.0,-0.025507941094013442
488.0,-0.01998497368510181
496.0,-0.020171762341446874
504.0,-0.023723011453076447
512.0,-0.03084877179279284
520.0,-0.03733023845061616
528.0,-0.03752142931844123
536.0,-0.03431948396277207
544.0,-0.02996717918168093
552.0,-0.027317598897658446
560.0,-0.02727874618808772
568.0,-0.028041725571342217
576.0,-0.02801055127102199
584.0,-0.0292082083095482
592.0,-0.033994876730765
600.0,-0.03328823832000277
608.0,-0.027910754469096005
616.0,-0.028784812960932403
624.0,-0.0354762128377615
632.0,-0.04085760507904109
640.0,-0.04235993516658328
648.0,-0.03877189368445588
656.0,-0.03817799230733764
664.0,-0.04084874702087517
672.0,-0.04097673428997826
680.0,-0.041056514373417806
688.0,-0.04013967077454158
696.0,-0.03232494494019399
704.0,-0.024357339308380042
712.0,-0.030763199261688714
720.0,-0.044471132838817554
728.0,-0.05129126001113844
736.0,-0.04886342055371364
744.0,-0.04259347113557314
752.0,-0.03911753322421468
760.0,-0.037003588970558915
768.0,-0.03714255766322144
776.0,-0.04233367500639588
784.0,-0.04502986021977879
792.0,-0.04249434527676082
800.0,-0.03766688751491931
808.0,-0.03313992849710738
816.0,-0.0336584022799179
824.0,-0.0357575282032358
832.0,-0.03524152594699565
840.0,-0.03238548666021299
848.0,-0.03248915794486454
856.0,-0.0378869165629017
