time,ECG
0.0,-0.018716493881336758
8.0,-0.03145763128801719
16.0,-0.03945404033834919
24.0,-0.041171302928625315
32.0,-0.037097976581891186
40.0,-0.03295132044466188
48.0,-0.03334382492127852
56.0,-0.037183993939731666
64.0,-0.04027825418254406
72.0,-0.03974839307103054
80.0,-0.03867326861012344
88.0,-0.036774924473508
96.0,-0.03596223956594014
104.0,-0.037364708667125796
112.0,-0.035842933774340044
120.0,-0.031379396355909264
128.0,-0.02853243111041392
136.0,-0.02887715786070004
144.0,-0.032915693724099776
152.0,-0.03904086834751781
160.0,-0.03989222467221047
168.0,-0.034799278877961144
176.0,-0.03173936946069241
184.0,-0.033864942323412445
192.0,-0.03909690414205601
200.0,-0.04496975866226023
208.0,-0.045722468075403144
216.0,-0.04029822409248149
224.0,-0.03593935618821268
232.0,-0.03673399293968396
240.0,-0.04086169286864228
248.0,-0.04372545692137884
256.0,-0.04369445564932621
264.0,-0.04228735169921355
272.0,-0.0409421080133354
280.0,-0.040121536084381515
288.0,-0.03847175066574513
296.0,-0.03795702497018369
304.0,-0.03553506075848372
312.0,-0.03208416456992179
320.0,-0.03068704560410672
328.0,-0.030824253246783204
336.0,-0.031464873364630754
344.0,-0.03401462129658178
352.0,-0.04890475144966464
360.0,-0.0772714990798735
368.0,-0.06946305916025304
376.0,0.11518239337050876
384.0,0.6139076839704534
392.0,1.1148978344375502
400.0,1.0399575035750286
408.0,0.4800476746348028
416.0,0.04764154934340914
424.0,-0.08368742460076432
432.0,-0.0801663624273595
440.0,-0.05734970200482045
448.0,-0.039675270342915236
456.0,-0.03463873078849608
464.0,-0.036296544954532155
472.0,-0.03555043116216905
480.0,-0.03303586284461055
488.0,-0.03131252798463961
496.0,-0.03215783348604331
504.0,-0.03325737320648118
512.0,-0.0346866013879101
520.0,-0.03666497539990419
528.0,-0.03610748797650362
536.0,-0.0322279448890384
544.0,-0.030505947538993633
552.0,-0.031965329110778554
560.0,-0.03400141410118403
568.0,-0.03674380138508944
576.0,-0.03874341734330924
584.0,-0.04221740218301334
592.0,-0.04797560469133246
600.0,-0.052048039870544294
608.0,-0.05300448148683269
616.0,-0.05558374514812403
624.0,-0.06277522144603799
632.0,-0.07027320871853629
640.0,-0.0676326360413376
648.0,-0.05414626184846794
656.0,-0.039744088619605523
664.0,-0.03422337989553737
672.0,-0.03258876468599834
680.0,-0.029508653047787586
688.0,-0.026545417488985888
696.0,-0.025279091008123495
704.0,-0.025162725634809615
712.0,-0.026302388551338932
720.0,-0.029363916977722598
728.0,-0.03193126906276397
736.0,-0.02926243537707001
744.0,-0.02599321438343139
752.0,-0.02472503545603695
760.0,-0.02455832709930252
768.0,-0.024566292468235284
776.0,-0.02450955908807783
784.0,-0.024695462487421087
792.0,-0.02570400718987331
800.0,-0.02731601350662071
808.0,-0.02712278106089637
816.0,-0.026292871733215938
824.0,-0.027091220282926712
832.0,-0.026917252802459015
840.0,-0.025140109086906483
848.0,-0.024068347768935565
856.0,-0.02376047355647367
864.0,-0.023703435281063716
872.0,-0.023799639750419627
880.0,-0.024448886926176982
888.0,-0.02594030273344369
896.0,-0.026814357875100055
904.0,-0.02725796274036269
912.0,-0.03066621595909699
920.0,-0.03353862845513107
928.0,-0.03413758593605264
936.0,-0.03294511833752244
944.0,-0.03180090524676067
952.0,-0.030888779792810787
960.0,-0.028759352529302756
968.0,-0.02617438439397751
976.0,-0.023970176082367605
984.0,-0.02318773140118583
992.0,-0.02341836458384806
1000.0,-0.02467568699037211
1008.0,-0.02676518676419695
1016.0,-0.028713462970304443
1024.0,-0.03272819291527277
1032.0,-0.03514498552235591
1040.0,-0.03267117676074408
1048.0,-0.034016146634531556
1056.0,-0.03632028134897631
1064.0,-0.03190147007576961
1072.0,-0.027919412468197045
1080.0,-0.02497262545943816
1088.0,-0.023330926244611954
1096.0,-0.022362402694716586
1104.0,-0.02129394282904574
1112.0,-0.022112699620992635
1120.0,-0.03118436577890477
1128.0,-0.0532515527348358
1136.0,-0.06428499200372231
1144.0,0.033820760534499755
1152.0,0.3850957771280189
1160.0,0.8443839685946816
1168.0,0.8222668908017202
1176.0,0.35732289711335236
1184.0,0.025844588706982106
1192.0,-0.06298161605765842
1200.0,-0.05063443313204814
1208.0,-0.029245542251993675
1216.0,-0.02071915387146905
1224.0,-0.021008011331030606
1232.0,-0.024953289049323722
1240.0,-0.02825180342143816
1248.0,-0.025866557307901814
1256.0,-0.022822724864626838
1264.0,-0.02308101840606878
1272.0,-0.02553531637588411
1280.0,-0.027518211811624175
1288.0,-0.028052257523444393
1296.0,-0.027288728312815036
1304.0,-0.028978849407166916
1312.0,-0.02987495253994507
1320.0,-0.03137064259588391
1328.0,-0.034263987386545666
1336.0,-0.03515144787934481
1344.0,-0.03346789717333294
1352.0,-0.03013546387510238
1360.0,-0.02921724563926221
1368.0,-0.03140737226212118
1376.0,-0.03666612290461275
1384.0,-0.03855450689970617
1392.0,-0.03391024429767738
1400.0,-0.033675954573266574
1408.0,-0.03760908675732921
1416.0,-0.03727445055422144
1424.0,-0.03416563721172183
1432.0,-0.02894196944517254
1440.0,-0.022080427718359854
1448.0,-0.017939844594963984
1456.0,-0.016857534342306555
1464.0,-0.01680906504560166
1472.0,-0.01665747446236007
1480.0,-0.01652403218308889
1488.0,-0.01770916629043527
1496.0,-0.021881707111080877
1504.0,-0.026829946070874335
1512.0,-0.026374870726123486
1520.0,-0.02083801309229483
1528.0,-0.01710655447922345
1536.0,-0.01815814053462545
1544.0,-0.021621694323222675
1552.0,-0.020859422827145407
1560.0,-0.017170159964362355
1568.0,-0.01530249378630747
1576.0,-0.015572054859511068
1584.0,-0.01724375400709704
1592.0,-0.01809860081863626
1600.0,-0.01652938628332331
1608.0,-0.01569506096660338
1616.0,-0.01655794828042145
1624.0,-0.016863210538501046
1632.0,-0.016281518093044105
1640.0,-0.019819115549039007
1648.0,-0.02719368736170065
1656.0,-0.029290923913102493
1664.0,-0.023747819541384507
1672.0,-0.018468519034373725
1680.0,-0.017102941671854385
1688.0,-0.017567790562643747
1696.0,-0.019448516914516215
1704.0,-0.02045805481767455
1712.0,-0.02399197959139658
1720.0,-0.028749046862100835
1728.0,-0.028743722856404995
1736.0,-0.030458794177565616
1744.0,-0.027667126127866738
1752.0,-0.020068858334467768
1760.0,-0.015021992352809682
1768.0,-0.014275602022045048
1776.0,-0.015725062106579635
1784.0,-0.016145760768611853
1792.0,-0.016362027522673253
1800.0,-0.019254912703079746
1808.0,-0.026997564712383692
1816.0,-0.03974950151889117
1824.0,-0.05277611157458327
1832.0,-0.009990783199076569
1840.0,0.189396121009726
1848.0,0.5304466401385349
1856.0,0.5898606309761243
1864.0,0.26450867380189064
1872.0,0.025292856009086657
1880.0,-0.038788303191388075
1888.0,-0.030258092206864557
1896.0,-0.0169670457857156
1904.0,-0.01513198719491607
1912.0,-0.020102502899792325
1920.0,-0.023929498969995078
1928.0,-0.01818477698241076
1936.0,-0.011026325638309851
1944.0,-0.009021417433390149
1952.0,-0.010365741901350402
1960.0,-0.010652028308655814
1968.0,-0.009407059377938
1976.0,-0.009625320788582152
1984.0,-0.010285588915388213
1992.0,-0.008367136941865595
2000.0,-0.006559584800105507
2008.0,-0.00877252136032467
2016.0,-0.017608346844618008
2024.0,-0.026993104270135942
2032.0,-0.02447923459717563
2040.0,-0.018071591617334185
2048.0,-0.01379878363941232
2056.0,-0.014315520455059409
2064.0,-0.01974155158920794
2072.0,-0.024055828156602423
2080.0,-0.024606275108609774
2088.0,-0.023507300466307
2096.0,-0.022561689411954557
2104.0,-0.020425603900682807
2112.0,-0.018576257174763886
2120.0,-0.013054211274769844
2128.0,-0.005899255169745761
2136.0,-0.0027157312570999445
2144.0,-0.0020845957069803873
2152.0,-0.001932317753657693
2160.0,-0.0018365784210130785
2168.0,-0.0030883277228158728
2176.0,-0.007612508588137472
2184.0,-0.01307120688846134
2192.0,-0.012548222126588989
2200.0,-0.009027085925897791
2208.0,-0.0037573856776805495
2216.0,-0.0009791554682072976
2224.0,-0.0018801675705157578
2232.0,-0.005308441280888993
2240.0,-0.006278238526165737
2248.0,-0.0029771563363431416
2256.0,-0.0017946090880718796
2264.0,-0.0037225785769867395
2272.0,-0.004108757789256618
2280.0,-0.0036039035029451156
2288.0,-0.003739498185925992
2296.0,-0.002271455436335214
2304.0,-0.0013822131129853858
2312.0,-0.0017067088101421018
2320.0,-0.00014639307584943533
2328.0,0.0017169151434662695
2336.0,0.0021247589410058393
2344.0,0.0002717591521386815
2352.0,-0.003739352893464682
2360.0,-0.005226918187269146
2368.0,-0.0028015510477822788
2376.0,0.0007396757235313084
2384.0,0.002421030925358312
2392.0,0.0008172440251229516
2400.0,-0.0023644766831017877
2408.0,-0.0027805159429786412
2416.0,-0.0010477233453753732
2424.0,0.00027348113563781484
2432.0,-0.0019557057866223765
2440.0,-0.007460620362189507
2448.0,-0.009421092402552575
2456.0,-0.009513494468336416
2464.0,-0.007184591360408587
2472.0,-0.008013660119694045
2480.0,-0.008527432014691092
2488.0,-0.007348278688194835
2496.0,-0.012510601115788547
2504.0,-0.018083626646462656
2512.0,-0.00895093262731845
2520.0,0.00015135396946124464
2528.0,0.00014579153716109272
2536.0,0.0026995968078058503
2544.0,0.004395269736831757
2552.0,0.0033661830834901827
2560.0,0.001268874359944226
2568.0,-0.002744866954430103
2576.0,-0.007470022985457074
2584.0,-0.0070653922968322335
2592.0,-0.0042364216837517095
2600.0,-0.0022533820902607294
2608.0,-0.002886718477030267
2616.0,-0.004277713628703644
2624.0,-0.0022961538568922247
