time,ECG
0.0,-0.03398187213552297
8.0,-0.046378847179230964
16.0,-0.045516073400504606
24.0,-0.041107757530837695
32.0,-0.04166440443480077
40.0,-0.044973056476931714
48.0,-0.045994149642514616
56.0,-0.04232151035479604
64.0,-0.037090472014151214
72.0,-0.041886446132147724
80.0,-0.06916818698130278
88.0,-0.09029308356496359
96.0,0.015230232771128076
104.0,0.4254697355839105
112.0,1.027944722584125
120.0,1.291340593085157
128.0,0.9628757103581738
136.0,0.346906104104973
144.0,-0.022488141042439715
152.0,-0.10196726098635489
160.0,-0.07899971726304877
168.0,-0.0579706965920537
176.0,-0.05236786328077572
184.0,-0.05373613287080489
192.0,-0.05772184792840498
200.0,-0.0595608545664622
208.0,-0.05828375191312703
216.0,-0.05530755054965688
224.0,-0.05357823990520403
232.0,-0.05284701764504925
240.0,-0.05356880687484762
248.0,-0.05467737776740534
256.0,-0.054592248646621946
264.0,-0.053912678121470776
272.0,-0.053650508269903474
280.0,-0.054393016393681506
288.0,-0.0546931166184877
296.0,-0.05245452160785285
304.0,-0.05052690443094155
312.0,-0.050496313808969344
320.0,-0.0512690495783539
328.0,-0.049897174469983194
336.0,-0.048204454075809804
344.0,-0.048376261114993456
352.0,-0.04820043444851615
360.0,-0.0458158637083331
368.0,-0.04376858698668316
376.0,-0.04266533903062305
384.0,-0.041998134663785866
392.0,-0.041268741368512475
400.0,-0.0399541161732869
408.0,-0.0376599454022422
416.0,-0.03567442354046428
424.0,-0.03579249373774628
432.0,-0.0350568347211071
440.0,-0.03337829804666397
448.0,-0.03376464340271951
456.0,-0.03454611100484428
464.0,-0.03439477922488324
472.0,-0.03376659597523755
480.0,-0.03317577233165183
488.0,-0.03260480193508719
496.0,-0.031141467849772658
504.0,-0.02709970422948798
512.0,-0.020954878975053617
520.0,-0.01911613924337879
528.0,-0.022166606676635624
536.0,-0.025767735144091804
544.0,-0.026707179595546037
552.0,-0.024808217386102133
560.0,-0.022825011857162576
568.0,-0.023465620859925533
576.0,-0.024272527273046258
584.0,-0.024144513914775696
592.0,-0.023526961996746667
600.0,-0.022854102129559434
608.0,-0.02229130474601883
616.0,-0.02180523197012081
624.0,-0.021079403587214784
632.0,-0.019412905261641494
640.0,-0.01651103759633918
648.0,-0.014511606060645952
656.0,-0.014404194689800323
664.0,-0.01612749314969942
672.0,-0.017383842146932345
680.0,-0.017390970088093757
688.0,-0.01690565283197677
696.0,-0.01646917066761503
704.0,-0.0160309175454079
712.0,-0.014810652051443917
720.0,-0.011614438049618557
728.0,-0.007446138009375929
736.0,-0.006950187000780106
744.0,-0.0086426355892146
752.0,-0.011144440293719336
760.0,-0.012547719818818713
768.0,-0.01260235051224042
776.0,-0.011772374715203732
784.0,-0.009768973668310076
792.0,-0.006844871341170256
800.0,-0.005569771944861104
808.0,-0.006760978798855238
816.0,-0.010483819788032745
824.0,-0.012762386994485309
832.0,-0.006323861954768762
840.0,0.019828157924634226
848.0,0.056541831363458354
856.0,0.05084772031242342
864.0,0.020849813269807737
872.0,0.004449861541755041
880.0,0.002129649236757964
888.0,-0.001145606489363766
896.0,-0.005182167104943805
904.0,-0.0066767528486547335
912.0,-0.006560823155792177
920.0,-0.00608370591525271
928.0,-0.005706269809239384
936.0,-0.00544514674746711
944.0,-0.005230373639928009
952.0,-0.005024434767806518
960.0,-0.004820589958640343
968.0,-0.0046218386774290075
976.0,-0.004430792081454906
984.0,-0.004248183287437795
992.0,-0.0040738050454505546
1000.0,-0.003907263029077944
1008.0,-0.0037485560929212316
1016.0,-0.003599094046105175
1024.0,-0.0034624460198735044
1032.0,-0.0033404953465739
1040.0,-0.0032175487674412843
1048.0,-0.0030364781806336357
1056.0,-0.002722715991746141
1064.0,-0.002394785772484426
1072.0,-0.002839284022731782
1080.0,-0.005654833746162965
1088.0,-0.01087637673252718
1096.0,-0.011658553137943908
1104.0,-0.0064043381363778264
1112.0,-0.002337484715962724
1120.0,0.0001044680866489261
1128.0,0.001305255511682557
1136.0,-0.00021126996301054193
1144.0,-0.0019548508814592486
1152.0,-0.002537886803771753
1160.0,-0.0019425920132909624
1168.0,7.501490509858149e-06
1176.0,0.0021569876691564004
1184.0,0.0026886379465826393
1192.0,0.0021392161054970865
1200.0,0.0015490462705498795
1208.0,0.0004379073605214353
1216.0,-0.0004478837984423869
1224.0,0.0004774061726123362
1232.0,0.0003302052871381079
1240.0,-0.0015029821855106062
1248.0,-0.0024258163813815005
1256.0,-0.0018147748537263421
1264.0,-7.146092940820426e-05
1272.0,0.0004657051875143815
1280.0,-0.00027374612561828645
1288.0,0.00013127920203700503
1296.0,-0.00016037950628119513
1304.0,0.00023814498584548622
1312.0,0.002443506097317842
1320.0,0.0020139669768191224
1328.0,-0.00119582752891876
1336.0,-0.0032920334051558535
1344.0,-0.003872131032622828
1352.0,-0.0038942588319618825
1360.0,-0.00392187091903782
1368.0,-0.004084603011508242
1376.0,-0.004290364280271627
1384.0,-0.0042184278751992025
1392.0,-0.0033436464489180976
1400.0,-0.0018371052414591258
1408.0,-0.0018167514555218873
1416.0,-0.0016815049814508285
1424.0,0.00037534768371643703
1432.0,0.00011350147737971072
1440.0,-0.003166227062668562
1448.0,-0.005589176966012691
1456.0,-0.006497527141517976
1464.0,-0.006302325968308993
1472.0,-0.004359341843681679
1480.0,-0.00036802395231370785
1488.0,0.0026464634911858085
1496.0,0.0027935694832713688
1504.0,-0.00021434606111179607
1512.0,-0.008623080792372454
1520.0,-0.014875795584077797
1528.0,0.001072359500772014
1536.0,0.06596921720152958
1544.0,0.16291240406233817
1552.0,0.21318201663462444
1560.0,0.12829239389107805
1568.0,0.03041160033751984
1576.0,-0.009780232709957606
1584.0,-0.013365314438580904
1592.0,-0.004995345498820004
1600.0,-0.0015798673920890084
1608.0,-0.005850098142849754
1616.0,-0.009691845156018293
1624.0,-0.011015141868953167
1632.0,-0.011140825633523012
1640.0,-0.011274127957807646
1648.0,-0.012192524720186788
1656.0,-0.014172288837067117
1664.0,-0.015351394608811263
1672.0,-0.01404907856870895
1680.0,-0.012982983550332804
1688.0,-0.01293371999015304
1696.0,-0.013349560884393007
1704.0,-0.01359451470159071
1712.0,-0.013029480978428477
1720.0,-0.011566583905711428
1728.0,-0.011509954153865054
1736.0,-0.013551534165740392
1744.0,-0.014989890336306058
1752.0,-0.01567719829628252
1760.0,-0.016644901648686605
1768.0,-0.01858529757488437
1776.0,-0.019959796823551857
1784.0,-0.018848009607358676
1792.0,-0.01786315788326642
1800.0,-0.01779208315516816
1808.0,-0.017721419314581013
1816.0,-0.01674159173405991
1824.0,-0.015662263487193295
1832.0,-0.01715603615005326
1840.0,-0.019350552225144053
1848.0,-0.020499769188249865
