time,ECG
0.0,-0.018294339155303298
8.0,-0.03652861100011288
16.0,-0.04250377354328312
24.0,-0.042215845185142514
32.0,-0.040902226484217714
40.0,-0.0401436042796543
48.0,-0.03983465289551502
56.0,-0.03965531516936335
64.0,-0.0394647436924812
72.0,-0.039247545128398585
80.0,-0.03902046619348568
88.0,-0.03879542403572427
96.0,-0.038575531690969084
104.0,-0.03835456546417239
112.0,-0.03811186582150187
120.0,-0.03782224496380792
128.0,-0.037530486318076324
136.0,-0.03751417057002742
144.0,-0.038320457462455985
152.0,-0.03991048405892367
160.0,-0.039790094081383176
168.0,-0.037779766804210003
176.0,-0.03647950090640328
184.0,-0.03603350474507075
192.0,-0.03588999724444764
200.0,-0.035750543324905015
208.0,-0.03556105522707802
216.0,-0.03535023613818864
224.0,-0.03515325214734588
232.0,-0.03498780826375955
240.0,-0.03480163328913089
248.0,-0.0343738455752436
256.0,-0.033366986860063605
264.0,-0.032089481405834584
272.0,-0.03343110516565439
280.0,-0.044012229202234375
288.0,-0.06614283121603245
296.0,-0.06754399200769233
304.0,0.0597902660490766
312.0,0.4407618594915193
320.0,0.8573623247888716
328.0,0.7433852373280317
336.0,0.2709443154289647
344.0,-0.012183700148981168
352.0,-0.07310491234487027
360.0,-0.0551115871797982
368.0,-0.03568471804509073
376.0,-0.028924315666508955
384.0,-0.02868545534552766
392.0,-0.02952911439524708
400.0,-0.0298040950580529
408.0,-0.02961607665473355
416.0,-0.0292980041276126
424.0,-0.028986186657399566
432.0,-0.028658924842792033
440.0,-0.02825135315356725
448.0,-0.027838424123589903
456.0,-0.02795480486275604
464.0,-0.02966530606096046
472.0,-0.03291331523479644
480.0,-0.033042258324175726
488.0,-0.029259440501337927
496.0,-0.026532030341199362
504.0,-0.025578118122214357
512.0,-0.026214973480925385
520.0,-0.029339186434359583
528.0,-0.034103003971692164
536.0,-0.03491676048863983
544.0,-0.0341306488336583
552.0,-0.03523444611769094
560.0,-0.03412622421190395
568.0,-0.030846554123021376
576.0,-0.028174184146079827
584.0,-0.025448276404573103
592.0,-0.02389990526553334
600.0,-0.023463221678985503
608.0,-0.023386805547081384
616.0,-0.023304798405989088
624.0,-0.02316325406379183
632.0,-0.022997599189623536
640.0,-0.022834581695317692
648.0,-0.02268150525569853
656.0,-0.022537500473404786
664.0,-0.022400937469827742
672.0,-0.022271190274020188
680.0,-0.02214825285050053
688.0,-0.022032250494076006
696.0,-0.021923262406360472
704.0,-0.021821316764376306
712.0,-0.021726418395561928
720.0,-0.021638563337618974
728.0,-0.021557741394885015
736.0,-0.021483934961826788
744.0,-0.02141711801927841
752.0,-0.0213572558672551
760.0,-0.021304305168287786
768.0,-0.02125821404050867
776.0,-0.021218922102580386
784.0,-0.021186360495839204
792.0,-0.021160451898536475
800.0,-0.021141110532449662
808.0,-0.021128242178968255
816.0,-0.02112174417963761
824.0,-0.021121505448732668
832.0,-0.021127406469694965
840.0,-0.02113931929953048
848.0,-0.021157107564655418
856.0,-0.021180626455238667
864.0,-0.021209722721631647
872.0,-0.021244234659320283
880.0,-0.021283992104376585
888.0,-0.02132881641228619
896.0,-0.021378520448876556
904.0,-0.021432908567477135
912.0,-0.021491776591721697
920.0,-0.02155491179321558
928.0,-0.021622092863837865
936.0,-0.021693089895232335
